Year,Winner1,Winner2
1950,Bicycle Thieves,NA
1951,All About Eve,NA
1952,La Ronde,NA
1953,The Sound Barrier,NA
1954,Forbidden Games,NA
1955,The Wages of Fear,NA
1956,Richard III,NA
1957,Gervaise,NA
1958,The Bridge on the River Kwai,NA
1959,Room at the Top,NA
1960,Ben-Hur,NA
1961,The Apartment,NA
1962,Ballad of a Soldier,The Hustler
1963,Lawrence of Arabia,NA
1964,Tom Jones,NA
1965,Dr. Strangelove,NA
1966,My Fair Lady,NA
1967,Who's Afraid of Virginia Woolf,NA
1968,A Man for All Seasons,NA
1969,The Graduate,NA
1970,Midnight Cowboy,NA
1971,Butch Cassidy and the Sundance Kid,NA
1972,Sunday Bloody Sunday,NA
1973,Cabaret,NA
1974,Day for Night,NA
1975,Lacombe Lucien,NA
1976,Alice Doesn't Live Here Anymore,NA
1977,One Flew Over the Cuckoo's Nest,NA
1978,Annie Hall,NA
1979,Julia,NA
1980,Manhattan,NA
1981,The Elephant Man,NA
1982,Chariots of Fire,NA
1983,Gandhi,NA
1984,Educating Rita,NA
1985,The Killing Fields,NA
1986,The Purple Rose of Cairo,NA
1987,A Room with a View,NA
1988,Jean de Florette,NA
1989,The Last Emperor,NA
1990,Dead Poets Society,NA
1991,Goodfellas,NA
1992,The Commitments,NA
1993,Howards End,NA
1994, Schindler's List,NA
1995,Four Weddings and a Funeral,NA
1996,Sense and Sensibility,NA
1997,The English Patient,NA
1998,The Full Monty,NA
1999,Shakespeare in Love,NA
2000,American Beauty,NA
2001,Gladiator,NA
2002,The Lord of the Rings: The Fellowship of the Ring,NA
2003,The Pianist,NA
2004,The Lord of the Rings: The Return of the King,NA
2005,The Aviator,NA
2006,Brokeback Mountain,NA
2007,The Queen,NA
2008,Atonement,NA
2009,Slumdog Millionaire,NA
2010,The Hurt Locker,NA
2011,The Kings Speech,NA
2012,The Artist,NA
2013,Argo,NA
2014,12 Years a Slave,NA
2015,Boyhood,NA
