Year,Winner,Winner2
1989,Driving Miss Daisy,NA
1990,Dances with Wolves,NA
1991,The Silence of the Lambs,NA
1992,The Crying Game,NA
1993,Schindler's List,NA
1994, Forrest Gump,NA
1995,Apollo 13,NA
1996,The English Patient,NA
1997, Titanic,NA
1998,Saving Private Ryan,NA
1999,American Beauty,NA
2000,Gladiator,NA
2001,Moulin Rouge!,NA
2002,Chicago,NA
2003,The Lord of the Rings: The Return of the King,NA
2004,The Aviator,NA
2005,Brokeback Mountain,NA
2006, Little Miss Sunshine,NA
2007,No Country for Old Men,NA
2008,Slumdog Millionaire,NA
2009,The Hurt Locker,NA
2010,The King's Speech,NA
2011,The Artist,NA
2012,Argo,NA
2013,12 Years a Slave,Gravity
2014,Birdman,NA
